pokedex_number,variant,name,hp,attack,defense,sp_attack,sp_defense,speed,abilities,taken_normal,taken_fire,taken_water,taken_electric,taken_grass,taken_ice,taken_fight,taken_poison,taken_ground,taken_flying,taken_psychic,taken_bug,taken_rock,taken_ghost,taken_dragon,taken_dark,taken_steel,taken_fairy,classification,type1,type2,height_m,weight_kg,percentage_male,is_legendary,generation
94,,Gengar,60,65,60,130,75,110,['Cursed Body'],0,1,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,0.5,Shadow Pokemon,ghost,poison,1.5,40.5,50,0,1
94,mega,Gengar,60,65,80,170,95,130,['Shadow Tag'],0,1,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,0.5,Shadow Pokemon,ghost,poison,1.4,40.5,50,0,6
95,,Onix,35,45,160,30,45,70,"['Rock Head', 'Sturdy', 'Weak Armor']",0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,Rock Snake Pokemon,rock,ground,8.8,210,50,0,1
96,,Drowzee,60,48,45,43,90,42,"['Insomnia', 'Forewarn', 'Inner Focus']",1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,Hypnosis Pokemon,psychic,,1,32.4,50,0,1
97,,Hypno,85,73,70,73,115,67,"['Insomnia', 'Forewarn', 'Inner Focus']",1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,Hypnosis Pokemon,psychic,,1.6,75.6,50,0,1
98,,Krabby,30,105,90,25,25,50,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,River Crab Pokemon,water,,0.4,6.5,50,0,1
99,,Kingler,55,130,115,50,50,75,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,Pincer Pokemon,water,,1.3,60,50,0,1
100,,Voltorb,40,30,50,55,55,100,"['Soundproof', 'Static', 'Aftermath']",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,Ball Pokemon,electric,,0.5,10.4,,0,1
101,,Electrode,60,50,70,80,80,150,"['Soundproof', 'Static', 'Aftermath']",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,Ball Pokemon,electric,,1.2,66.6,,0,1
102,,Exeggcute,60,40,80,60,45,40,"['Chlorophyll', 'Harvest']",1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1,Egg Pokemon,grass,psychic,0.4,2.5,50,0,1
103,,Exeggutor,95,95,85,125,75,55,"['Chlorophyll', 'Harvest']",1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1,Coconut Pokemon,grass,psychic,2,120,50,0,1
103,alolan,Exeggutor,95,105,85,125,75,45,"['Frisk', 'Harvest']",1,1,0.25,0.25,0.25,4,1,2,0.5,2,1,2,1,1,2,1,1,2,Coconut Pokemon,grass,dragon,10.9,415.6,50,0,7
104,,Cubone,50,50,95,40,50,35,"['Rock Head', 'Lightningrod', 'Battle Armor']",1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,Lonely Pokemon,ground,,0.4,6.5,50,0,1
105,,Marowak,60,80,110,50,80,45,"['Rock Head', 'Lightningrod', 'Battle Armor']",1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,Bone Keeper Pokemon,ground,,1,45,50,0,1
105,alolan,Marowak,60,80,110,50,80,45,"['Cursed Body', 'Lightningrod', 'Rock Head']",0,0.5,2,1,0.5,0.5,0,0.5,2,1,1,0.25,2,2,1,2,0.5,0.5,Bone Keeper Pokemon,fire,ghost,1,34,50,0,7
106,,Hitmonlee,50,120,53,35,110,87,"['Limber', 'Reckless', 'Unburden']",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,Kicking Pokemon,fighting,,1.5,49.8,100,0,1
107,,Hitmonchan,50,105,79,35,110,76,"['Keen Eye', 'Iron Fist', 'Inner Focus']",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,Punching Pokemon,fighting,,1.4,50.2,100,0,1
108,,Lickitung,90,55,75,60,75,30,"['Own Tempo', 'Oblivious', 'Cloud Nine']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Licking Pokemon,normal,,1.2,65.5,50,0,1
109,,Koffing,40,65,95,60,45,35,['Levitate'],1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,Poison Gas Pokemon,poison,,0.6,1,50,0,1
110,,Weezing,65,90,120,85,70,60,['Levitate'],1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,Poison Gas Pokemon,poison,,1.2,9.5,50,0,1
111,,Rhyhorn,80,85,95,30,30,25,"['Lightningrod', 'Rock Head', 'Reckless']",0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,Spikes Pokemon,ground,rock,1,115,50,0,1
112,,Rhydon,105,130,120,45,45,40,"['Lightningrod', 'Rock Head', 'Reckless']",0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,Drill Pokemon,ground,rock,1.9,120,50,0,1
113,,Chansey,250,5,5,35,105,50,"['Natural Cure', 'Serene Grace', 'Healer']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Egg Pokemon,normal,,1.1,34.6,0,0,1
114,,Tangela,65,55,115,100,40,60,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,Vine Pokemon,grass,,1,35,50,0,1
115,,Kangaskhan,105,95,80,40,80,90,"['Early Bird', 'Scrappy', 'Inner Focus']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Parent Pokemon,normal,,2.2,80,0,0,1
115,mega,Kangaskhan,105,125,100,60,100,100,['Parental Bond'],1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Parent Pokemon,normal,,2.2,100,0,0,6
116,,Horsea,30,40,70,70,25,60,"['Swift Swim', 'Sniper', 'Damp']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,Dragon Pokemon,water,,0.4,8,50,0,1
117,,Seadra,55,65,95,95,45,85,"['Poison Point', 'Sniper', 'Damp']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,Dragon Pokemon,water,,1.2,25,50,0,1
118,,Goldeen,45,67,60,35,50,63,"['Swift Swim', 'Water Veil', 'Lightningrod']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,Goldfish Pokemon,water,,0.6,15,50,0,1
119,,Seaking,80,92,65,65,80,68,"['Swift Swim', 'Water Veil', 'Lightningrod']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,Goldfish Pokemon,water,,1.3,39,50,0,1
120,,Staryu,30,45,55,70,55,85,"['Illuminate', 'Natural Cure', 'Analytic']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,Starshape Pokemon,water,,0.8,34.5,,0,1
121,,Starmie,60,75,85,100,85,115,"['Illuminate', 'Natural Cure', 'Analytic']",1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1,Mysterious Pokemon,water,psychic,1.1,80,,0,1
122,,Mr. Mime,40,45,65,100,120,90,"['Soundproof', 'Filter', 'Technician']",1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1,Barrier Pokemon,psychic,fairy,1.3,54.5,50,0,1
123,,Scyther,70,110,80,55,80,105,"['Swarm', 'Technician', 'Steadfast']",1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,Mantis Pokemon,bug,flying,1.5,56,50,0,1
124,,Jynx,65,50,35,115,95,95,"['Oblivious', 'Forewarn', 'Dry Skin']",1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1,Humanshape Pokemon,ice,psychic,1.4,40.6,0,0,1
125,,Electabuzz,65,83,57,95,85,105,"['Static', 'Vital Spirit']",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,Electric Pokemon,electric,,1.1,30,75.4,0,1
126,,Magmar,65,95,57,100,85,93,"['Flame Body', 'Vital Spirit']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,Spitfire Pokemon,fire,,1.3,44.5,75.4,0,1
127,,Pinsir,65,125,100,55,70,85,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,Stagbeetle Pokemon,bug,,1.5,55,50,0,1
127,mega,Pinsir,65,155,120,65,90,105,['Aerilate'],1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,Stagbeetle Pokemon,bug,flying,1.7,59,50,0,6
128,,Tauros,75,100,95,40,70,110,"['Intimidate', 'Anger Point', 'Sheer Force']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Wild Bull Pokemon,normal,,1.4,88.4,100,0,1
129,,Magikarp,20,10,55,15,20,80,"['Swift Swim', 'Rattled']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,Fish Pokemon,water,,0.9,10,50,0,1
130,,Gyarados,95,125,79,60,100,81,"['Intimidate', 'Moxie']",1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1,Atrocious Pokemon,water,flying,6.5,235,50,0,1
130,mega,Gyarados,95,155,109,70,130,81,['Mold Breaker'],1,0.5,0.5,2,2,0.5,2,1,1,1,0,2,1,0.5,1,0.5,0.5,2,Atrocious Pokemon,water,dark,6.5,305,50,0,6
131,,Lapras,130,85,80,85,95,60,"['Water Absorb', 'Shell Armor', 'Hydration']",1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1,Transport Pokemon,water,ice,2.5,220,50,0,1
132,,Ditto,48,48,48,48,48,48,"['Limber', 'Imposter']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Transform Pokemon,normal,,0.3,4,,0,1
133,,Eevee,55,55,50,45,65,55,"['Run Away', 'Adaptability', 'Anticipation']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Evolution Pokemon,normal,,0.3,6.5,88.1,0,1
134,,Vaporeon,130,65,60,110,95,65,"['Water Absorb', 'Hydration']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,Bubble Jet Pokemon,water,,1,29,88.1,0,1
135,,Jolteon,65,65,60,110,95,130,"['Volt Absorb', 'Quick Feet']",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,Lightning Pokemon,electric,,0.8,24.5,88.1,0,1
136,,Flareon,65,130,60,95,110,65,"['Flash Fire', 'Guts']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,Flame Pokemon,fire,,0.9,25,88.1,0,1
137,,Porygon,65,60,70,85,75,40,"['Trace', 'Download', 'Analytic']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Virtual Pokemon,normal,,0.8,36.5,,0,1
138,,Omanyte,35,40,100,90,55,35,"['Swift Swim', 'Shell Armor', 'Weak Armor']",0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1,Spiral Pokemon,rock,water,0.4,7.5,88.1,0,1
139,,Omastar,70,60,125,115,70,55,"['Swift Swim', 'Shell Armor', 'Weak Armor']",0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1,Spiral Pokemon,rock,water,1,35,88.1,0,1
140,,Kabuto,30,80,90,55,45,55,"['Swift Swim', 'Battle Armor', 'Weak Armor']",0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1,Shellfish Pokemon,rock,water,0.5,11.5,88.1,0,1
141,,Kabutops,60,115,105,65,70,80,"['Swift Swim', 'Battle Armor', 'Weak Armor']",0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1,Shellfish Pokemon,rock,water,1.3,40.5,88.1,0,1
142,,Aerodactyl,80,105,65,60,75,130,"['Rock Head', 'Pressure', 'Unnerve']",0.5,0.5,2,2,1,2,1,0.5,0,0.5,1,0.5,2,1,1,1,2,1,Fossil Pokemon,rock,flying,1.8,59,88.1,0,1
142,mega,Aerodactyl,80,135,85,70,95,150,['Tough Claws'],0.5,0.5,2,2,1,2,1,0.5,0,0.5,1,0.5,2,1,1,1,2,1,Fossil Pokemon,rock,flying,2.1,79,88.1,0,6
143,,Snorlax,160,110,65,65,110,30,"['Immunity', 'Thick Fat', 'Gluttony']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Sleeping Pokemon,normal,,2.1,460,88.1,0,1
144,,Articuno,90,85,100,95,125,85,"['Pressure', 'Snow Cloak']",1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,1,Freeze Pokemon,ice,flying,1.7,55.4,,1,1
145,,Zapdos,90,90,85,125,90,100,"['Pressure', 'Static']",1,1,1,1,0.5,2,0.5,1,0,0.5,1,0.5,2,1,1,1,0.5,1,Electric Pokemon,electric,flying,1.6,52.6,,1,1
146,,Moltres,90,100,90,125,85,90,"['Pressure', 'Flame Body']",1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5,Flame Pokemon,fire,flying,2,60,,1,1
147,,Dratini,41,64,45,50,50,50,"['Shed Skin', 'Marvel Scale']",1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,2,Dragon Pokemon,dragon,,1.8,3.3,50,0,1
148,,Dragonair,61,84,65,70,70,70,"['Shed Skin', 'Marvel Scale']",1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,2,Dragon Pokemon,dragon,,4,16.5,50,0,1
149,,Dragonite,91,134,95,100,100,80,"['Inner Focus', 'Multiscale']",1,0.5,0.5,1,0.25,4,0.5,1,0,1,1,0.5,2,1,2,1,1,2,Dragon Pokemon,dragon,flying,2.2,210,50,0,1
150,,Mewtwo,106,110,90,154,90,130,"['Pressure', 'Unnerve']",1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,Genetic Pokemon,psychic,,2,122,,1,1
150,mega_x,Mewtwo,106,190,100,154,100,130,['Steadfast'],1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2,Genetic Pokemon,psychic,fighting,2.3,127,,1,6
150,mega_y,Mewtwo,106,150,70,194,120,140,['Insomnia'],1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,Genetic Pokemon,psychic,,1.5,33,,1,6
151,,Mew,100,100,100,100,100,100,['Synchronize'],1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,New Species Pokemon,psychic,,0.4,4,,1,1
152,,Chikorita,45,49,65,49,65,45,"['Overgrow', 'Leaf Guard']",1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,Leaf Pokemon,grass,,0.9,6.4,88.1,0,2
153,,Bayleef,60,62,80,63,80,60,"['Overgrow', 'Leaf Guard']",1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,Leaf Pokemon,grass,,1.2,15.8,88.1,0,2
154,,Meganium,80,82,100,83,100,80,"['Overgrow', 'Leaf Guard']",1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,Herb Pokemon,grass,,1.8,100.5,88.1,0,2
155,,Cyndaquil,39,52,43,60,50,65,"['Blaze', 'Flash Fire']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,Fire Mouse Pokemon,fire,,0.5,7.9,88.1,0,2
156,,Quilava,58,64,58,80,65,80,"['Blaze', 'Flash Fire']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,Volcano Pokemon,fire,,0.9,19,88.1,0,2
157,,Typhlosion,78,84,78,109,85,100,"['Blaze', 'Flash Fire']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,Volcano Pokemon,fire,,1.7,79.5,88.1,0,2
158,,Totodile,50,65,64,44,48,43,"['Torrent', 'Sheer Force']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,Big Jaw Pokemon,water,,0.6,9.5,88.1,0,2
159,,Croconaw,65,80,80,59,63,58,"['Torrent', 'Sheer Force']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,Big Jaw Pokemon,water,,1.1,25,88.1,0,2
160,,Feraligatr,85,105,100,79,83,78,"['Torrent', 'Sheer Force']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,Big Jaw Pokemon,water,,2.3,88.8,88.1,0,2
161,,Sentret,35,46,34,35,45,20,"['Run Away', 'Keen Eye', 'Frisk']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Scout Pokemon,normal,,0.8,6,50,0,2
162,,Furret,85,76,64,45,55,90,"['Run Away', 'Keen Eye', 'Frisk']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Long Body Pokemon,normal,,1.8,32.5,50,0,2
163,,Hoothoot,60,30,30,36,56,50,"['Insomnia', 'Keen Eye', 'Tinted Lens']",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,Owl Pokemon,normal,flying,0.7,21.2,50,0,2
164,,Noctowl,100,50,50,86,96,70,"['Insomnia', 'Keen Eye', 'Tinted Lens']",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,Owl Pokemon,normal,flying,1.6,40.8,50,0,2
165,,Ledyba,40,20,30,40,80,55,"['Swarm', 'Early Bird', 'Rattled']",1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,Five Star Pokemon,bug,flying,1,10.8,50,0,2
166,,Ledian,55,35,50,55,110,85,"['Swarm', 'Early Bird', 'Iron Fist']",1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,Five Star Pokemon,bug,flying,1.4,35.6,50,0,2
167,,Spinarak,40,60,40,40,40,30,"['Swarm', 'Insomnia', 'Sniper']",1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,String Spit Pokemon,bug,poison,0.5,8.5,50,0,2
168,,Ariados,70,90,70,60,70,40,"['Swarm', 'Insomnia', 'Sniper']",1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,Long Leg Pokemon,bug,poison,1.1,33.5,50,0,2
169,,Crobat,85,90,80,70,80,130,"['Inner Focus', 'Infiltrator']",1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5,Bat Pokemon,poison,flying,1.8,75,50,0,2
170,,Chinchou,75,38,38,56,56,67,"['Volt Absorb', 'Illuminate', 'Water Absorb']",1,0.5,0.5,1,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,1,Angler Pokemon,water,electric,0.5,12,50,0,2
171,,Lanturn,125,58,58,76,76,67,"['Volt Absorb', 'Illuminate', 'Water Absorb']",1,0.5,0.5,1,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,1,Light Pokemon,water,electric,1.2,22.5,50,0,2
172,,Pichu,20,40,15,35,35,60,"['Static', 'Lightningrod']",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,Tiny Mouse Pokemon,electric,,0.3,2,50,0,2
173,,Cleffa,50,25,28,45,55,15,"['Cute Charm', 'Magic Guard', 'Friend Guard']",1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,Star Shape Pokemon,fairy,,0.3,3,24.6,0,2
174,,Igglybuff,90,30,15,40,20,15,"['Cute Charm', 'Competitive', 'Friend Guard']",1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,Balloon Pokemon,normal,fairy,0.3,1,24.6,0,2
175,,Togepi,35,20,65,40,65,20,"['Hustle', 'Serene Grace', 'Super Luck']",1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,Spike Ball Pokemon,fairy,,0.3,1.5,88.1,0,2
176,,Togetic,55,40,85,80,105,40,"['Hustle', 'Serene Grace', 'Super Luck']",1,1,1,2,0.5,2,0.25,2,0,1,1,0.25,2,1,0,0.5,2,1,Happiness Pokemon,fairy,flying,0.6,3.2,88.1,0,2
177,,Natu,40,50,45,70,45,70,"['Synchronize', 'Early Bird', 'Magic Bounce']",1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1,Little Bird Pokemon,psychic,flying,0.2,2,50,0,2
178,,Xatu,65,75,70,95,70,95,"['Synchronize', 'Early Bird', 'Magic Bounce']",1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1,Mystic Pokemon,psychic,flying,1.5,15,50,0,2
179,,Mareep,55,40,40,65,45,35,"['Static', 'Plus']",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,Wool Pokemon,electric,,0.6,7.8,50,0,2
180,,Flaaffy,70,55,55,80,60,45,"['Static', 'Plus']",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,Wool Pokemon,electric,,0.8,13.3,50,0,2
181,,Ampharos,90,75,85,115,90,55,"['Static', 'Plus']",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,Light Pokemon,electric,,1.4,61.5,50,0,2
181,mega,Ampharos,90,95,105,165,110,45,['Mold Breaker'],1,0.5,0.5,0.25,0.5,2,1,1,2,0.5,1,1,1,1,2,1,0.5,2,Light Pokemon,electric,dragon,1.4,61.5,50,0,6
182,,Bellossom,75,80,95,90,100,50,"['Chlorophyll', 'Healer']",1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,Flower Pokemon,grass,,0.4,5.8,50,0,2
183,,Marill,70,20,50,20,50,40,"['Thick Fat', 'Huge Power', 'Sap Sipper']",1,0.5,0.5,2,2,0.5,0.5,2,1,1,1,0.5,1,1,0,0.5,1,1,Aquamouse Pokemon,water,fairy,0.4,8.5,50,0,2
184,,Azumarill,100,50,80,60,80,50,"['Thick Fat', 'Huge Power', 'Sap Sipper']",1,0.5,0.5,2,2,0.5,0.5,2,1,1,1,0.5,1,1,0,0.5,1,1,Aquarabbit Pokemon,water,fairy,0.8,28.5,50,0,2
185,,Sudowoodo,70,100,115,30,65,30,"['Sturdy', 'Rock Head', 'Rattled']",0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1,Imitation Pokemon,rock,,1.2,38,50,0,2
186,,Politoed,90,75,75,90,100,70,"['Water Absorb', 'Damp', 'Drizzle']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,Frog Pokemon,water,,1.1,33.9,50,0,2
187,,Hoppip,35,35,40,35,55,50,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1,Cottonweed Pokemon,grass,flying,0.4,0.5,50,0,2
188,,Skiploom,55,45,50,45,65,80,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1,Cottonweed Pokemon,grass,flying,0.6,1,50,0,2
189,,Jumpluff,75,55,70,55,95,110,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1,Cottonweed Pokemon,grass,flying,0.8,3,50,0,2
190,,Aipom,55,70,55,40,55,85,"['Run Away', 'Pickup', 'Skill Link']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Long Tail Pokemon,normal,,0.8,11.5,50,0,2
191,,Sunkern,30,30,30,30,30,30,"['Chlorophyll', 'Solar Power', 'Early Bird']",1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,Seed Pokemon,grass,,0.3,1.8,50,0,2
192,,Sunflora,75,75,55,105,85,30,"['Chlorophyll', 'Solar Power', 'Early Bird']",1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,Sun Pokemon,grass,,0.8,8.5,50,0,2
193,,Yanma,65,65,45,75,45,95,"['Speed Boost', 'Compoundeyes', 'Frisk']",1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,Clear Wing Pokemon,bug,flying,1.2,38,50,0,2
194,,Wooper,55,45,45,25,25,15,"['Damp', 'Water Absorb', 'Unaware']",1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,Water Fish Pokemon,water,ground,0.4,8.5,50,0,2
195,,Quagsire,95,85,85,65,65,35,"['Damp', 'Water Absorb', 'Unaware']",1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,Water Fish Pokemon,water,ground,1.4,75,50,0,2
196,,Espeon,65,65,60,130,95,110,"['Synchronize', 'Magic Bounce']",1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,Sun Pokemon,psychic,,0.9,26.5,88.1,0,2
197,,Umbreon,95,65,110,60,130,65,"['Synchronize', 'Inner Focus']",1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,Moonlight Pokemon,dark,,1,27,88.1,0,2
198,,Murkrow,60,85,42,85,42,91,"['Insomnia', 'Super Luck', 'Prankster']",1,1,1,2,0.5,2,1,1,0,1,0,1,2,0.5,1,0.5,1,2,Darkness Pokemon,dark,flying,0.5,2.1,50,0,2
199,,Slowking,95,75,80,100,110,30,"['Oblivious', 'Own Tempo', 'Regenerator']",1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1,Royal Pokemon,water,psychic,2,79.5,50,0,2
200,,Misdreavus,60,60,60,85,85,85,['Levitate'],0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1,Screech Pokemon,ghost,,0.7,1,50,0,2
201,,Unown,48,72,48,72,48,48,['Levitate'],1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,Symbol Pokemon,psychic,,0.5,5,,0,2
202,,Wobbuffet,190,33,58,33,58,33,"['Shadow Tag', 'Telepathy']",1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,Patient Pokemon,psychic,,1.3,28.5,50,0,2
203,,Girafarig,70,80,65,90,65,85,"['Inner Focus', 'Early Bird', 'Sap Sipper']",1,1,1,1,1,1,1,1,1,1,0.5,2,1,0,1,2,1,1,Long Neck Pokemon,normal,psychic,1.5,41.5,50,0,2
204,,Pineco,50,65,90,35,35,15,"['Sturdy', 'Overcoat']",1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,Bagworm Pokemon,bug,,0.6,7.2,50,0,2
